"","MSZoning","LotArea","LotShape","Neighborhood","BldgType","OverallQual","OverallCond","YearBuilt","RoofStyle","ExterQual","ExterCond","Foundation","BsmtQual","BsmtFinType1","TotalBsmtSF","HeatingQC","CentralAir","Electrical","GrLivArea","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","Functional","FireplaceQu","GarageCars","PavedDrive","SaleType","SaleCondition","SalePrice","numb_add_flr","pool","porch_area","porch_type","Remod"
"11","RL",11200,"Reg","Sawyer","1Fam","3","3",1965,"Hip","TA","2","CBlock","TA","Rec",1040,"Ex","Y","SBrkr",1040,"1","0",3,1,"TA","Typ","No",1,"Y","WD","Normal",129500,1,"0",0,"no","1"
"12","RL",11924,"IR1","NridgHt","1Fam","5","3",2005,"Hip","Ex","2","PConc","Ex","GLQ",1175,"Ex","Y","SBrkr",2324,"3","0",4,1,"Ex","Typ","AA",3,"Y","New","Partial",345000,2,"0",168,"multiple","0"
"13","RL",12968,"IR2.5","Sawyer","1Fam","3","3",1962,"Hip","TA","2","CBlock","TA","ALQ",912,"TA","Y","SBrkr",912,"1","0",2,1,"TA","Typ","No",1,"Y","WD","Normal",144000,1,"0",316,"multiple","1"
"14","RL",10652,"IR1","CollgCr","1Fam","4","3",2006,"Gable","Gd","2","PConc","Gd","Unf",1494,"Ex","Y","SBrkr",1494,"2","0",3,1,"Gd","Typ","AA",3,"Y","New","Partial",279500,1,"0",193,"multiple","0"
"15","RL",10920,"IR1","NAmes","1Fam","3","3",1960,"Hip","TA","2","CBlock","TA","BLQ",1253,"TA","Y","SBrkr",1253,"1","1",2,1,"TA","Typ","BA",1,"Y","WD","Normal",157000,1,"0",389,"multiple","1"
"16","RM",6120,"Reg","BrkSide","1Fam","4","4",1929,"Gable","TA","2","BrkTil","TA","Unf",832,"Ex","Y","Fuse or Mix",854,"1","0",2,1,"TA","Typ","No",2,"Y","WD","Normal",132000,1,"0",160,"multiple","0"
"17","RL",11241,"IR1","NAmes","1Fam","3","4",1970,"Gable","TA","2","CBlock","TA","ALQ",1004,"Ex","Y","SBrkr",1004,"1","0",2,1,"TA","Typ","TA",2,"Y","WD","Normal",149000,1,"0",0,"no","1"
"18","RL",10791,"Reg","Sawyer","Duplex","2","3",1967,"Gable","TA","2","Other","No","No",0,"TA","Y","SBrkr",1296,"2","0",2,2,"TA","Typ","No",2,"Y","WD","Normal",90000,1,"0",0,"no","1"
"19","RL",13695,"Reg","SawyerW","1Fam","3","3",2004,"Gable","TA","2","PConc","TA","GLQ",1114,"Ex","Y","SBrkr",1114,"1","1",3,1,"Gd","Typ","No",2,"Y","WD","Normal",159000,1,"0",102,"open_porch","1"
"20","RL",7560,"Reg","NAmes","1Fam","3","3",1958,"Hip","TA","2","CBlock","TA","LwQ",1029,"TA","Y","SBrkr",1339,"1","0",3,1,"TA","Min","No",1,"Y","COD","Abnorml",139000,1,"0",0,"no","0"
"21","RL",14215,"IR1","NridgHt","1Fam","4","3",2005,"Gable","Gd","2","PConc","Ex","Unf",1158,"Ex","Y","SBrkr",2376,"3","1",4,1,"Gd","Typ","AA",3,"Y","New","Partial",325300,2,"0",394,"multiple","0"
"22","RM",7449,"Reg","IDOTRR","1Fam","4","4",1930,"Gable","TA","2","PConc","TA","Unf",637,"Ex","Y","Fuse or Mix",1108,"1","0",3,1,"Gd","Typ","AA",1,"N or P","WD","Normal",139400,1,"0",205,"enclosed_porch","0"
"23","RL",9742,"Reg","CollgCr","1Fam","4","3",2002,"Hip","Gd","2","PConc","Gd","Unf",1777,"Ex","Y","SBrkr",1795,"2","0",3,1,"Gd","Typ","AA",2,"Y","WD","Normal",230000,1,"0",330,"multiple","1"
"24","RM",4224,"Reg","MeadowV","TwnhsE","3","4",1976,"Gable","TA","2","PConc","Gd","GLQ",1040,"TA","Y","SBrkr",1060,"1","0",3,1,"TA","Typ","TA",2,"Y","WD","Normal",129900,1,"0",210,"multiple","1"
"25","RL",8246,"IR1","Sawyer","1Fam","3","4",1968,"Gable","TA","3","CBlock","TA","Rec",1060,"Ex","Y","SBrkr",1060,"1","0",3,1,"Gd","Typ","TA",1,"Y","WD","Normal",154000,1,"0",496,"multiple","0"
"26","RL",14230,"Reg","NridgHt","1Fam","4","3",2007,"Gable","Gd","2","PConc","Gd","Unf",1566,"Ex","Y","SBrkr",1600,"2","0",3,1,"Gd","Typ","AA",3,"Y","WD","Normal",256300,1,"0",56,"open_porch","1"
"27","RL",7200,"Reg","NAmes","1Fam","3","4",1951,"Gable","TA","2","CBlock","TA","BLQ",900,"TA","Y","SBrkr",900,"1","0",3,1,"Gd","Typ","No",2,"Y","WD","Normal",134800,1,"0",254,"multiple","0"
"28","RL",11478,"Reg","NridgHt","1Fam","4","3",2007,"Gable","Gd","2","PConc","Ex","GLQ",1704,"Ex","Y","SBrkr",1704,"2","0",3,1,"Gd","Typ","AA",3,"Y","WD","Normal",306000,1,"0",50,"open_porch","0"
"29","RL",16321,"IR1","NAmes","1Fam","3","3",1957,"Gable","TA","2","CBlock","TA","BLQ",1484,"TA","Y","SBrkr",1600,"1","0",2,1,"TA","Typ","AA",1,"Y","WD","Normal",207500,1,"0",546,"multiple","0"
"30","RM",6324,"IR1","BrkSide","1Fam","2","3",1927,"Gable","TA","2","BrkTil","TA","Unf",520,"Fa","N","SBrkr",520,"1","0",1,1,"Fa","Typ","No",1,"Y","WD","Normal",68500,1,"0",136,"multiple","0"
"31","C (all)",8500,"Reg","IDOTRR","1Fam","2","2",1920,"Other","TA","1","BrkTil","TA","Unf",649,"TA","N","SBrkr",1317,"1","0",3,1,"TA","Typ","No",1,"N or P","WD","Normal",40000,2,"0",226,"multiple","0"
"32","RL",8544,"IR1","Sawyer","1Fam","3","3",1966,"Gable","TA","2","CBlock","TA","Unf",1228,"Gd","Y","SBrkr",1228,"1","1",3,1,"Gd","Typ","No",1,"Y","WD","Normal",149350,1,"0",65,"open_porch","0"
"33","RL",11049,"Reg","CollgCr","1Fam","4","3",2007,"Gable","Gd","2","PConc","Ex","Unf",1234,"Ex","Y","SBrkr",1234,"2","0",3,1,"Gd","Typ","No",2,"Y","WD","Normal",179900,1,"0",30,"open_porch","1"
"34","RL",10552,"IR1","NAmes","1Fam","3","3",1959,"Hip","TA","2","CBlock","TA","Rec",1398,"Gd","Y","SBrkr",1700,"1","1",4,1,"Gd","Typ","AA",2,"Y","WD","Normal",165500,1,"0",38,"open_porch","1"
"35","RL",7313,"Reg","NridgHt","TwnhsE","5","3",2005,"Hip","Ex","2","PConc","Ex","GLQ",1561,"Ex","Y","SBrkr",1561,"2","0",2,1,"Ex","Typ","AA",2,"Y","WD","Normal",277500,1,"0",250,"multiple","1"
"36","RL",13418,"Reg","NridgHt","1Fam","4","3",2004,"Gable","Gd","2","PConc","Ex","Unf",1117,"Ex","Y","SBrkr",2452,"3","1",4,1,"Gd","Typ","AA",3,"Y","WD","Normal",309000,2,"0",145,"multiple","0"
"37","RL",10859,"Reg","CollgCr","1Fam","3","3",1994,"Gable","TA","2","PConc","Gd","Unf",1097,"Ex","Y","SBrkr",1097,"1","1",3,1,"TA","Typ","No",2,"Y","WD","Normal",145000,1,"0",456,"multiple","0"
"38","RL",8532,"Reg","NAmes","1Fam","3","3",1954,"Hip","TA","2","CBlock","TA","Rec",1297,"Gd","Y","SBrkr",1297,"1","0",3,1,"TA","Typ","TA",2,"Y","WD","Normal",153000,1,"0",0,"no","0"
"39","RL",7922,"Reg","NAmes","1Fam","3","4",1953,"Gable","TA","3","CBlock","TA","GLQ",1057,"TA","Y","SBrkr",1057,"1","0",3,1,"Gd","Typ","No",1,"Y","WD","Abnorml",109000,1,"0",52,"open_porch","0"
"40","RL",6040,"Reg","Edwards","Duplex","2","3",1955,"Gable","TA","2","PConc","No","No",0,"TA","N","Fuse or Mix",1152,"2","0",2,2,"Fa","Typ","No",0,"N or P","WD","Other",82000,1,"0",0,"no","1"
"41","RL",8658,"Reg","NAmes","1Fam","3","3",1965,"Gable","TA","2","CBlock","TA","Rec",1088,"Ex","Y","SBrkr",1324,"2","0",3,1,"TA","Typ","TA",2,"Y","WD","Abnorml",160000,1,"0",138,"open_porch","1"
"42","RL",16905,"Reg","Timber","1Fam","3","3",1959,"Gable","TA","3","CBlock","TA","BLQ",1350,"Gd","Y","SBrkr",1328,"1","1",2,1,"TA","Typ","AA",1,"N or P","WD","Normal",170000,1,"0",104,"open_porch","1"
"43","RL",9180,"IR1","SawyerW","1Fam","3","4",1983,"Gable","TA","2","CBlock","Gd","ALQ",840,"Gd","Y","SBrkr",884,"1","0",2,1,"Gd","Typ","No",2,"Y","WD","Normal",144000,1,"0",240,"wood_deck","1"
"44","RL",9200,"IR1","CollgCr","1Fam","3","3",1975,"Hip","TA","2","CBlock","Gd","LwQ",938,"TA","Y","SBrkr",938,"1","0",3,1,"TA","Typ","No",1,"Y","WD","Normal",130250,1,"0",145,"wood_deck","0"
"45","RL",7945,"Reg","NAmes","1Fam","3","3",1959,"Gable","TA","2","CBlock","TA","ALQ",1150,"Ex","Y","Fuse or Mix",1150,"1","0",3,1,"TA","Typ","No",1,"Y","WD","Normal",141000,1,"0",0,"no","1"
"46","RL",7658,"Reg","NridgHt","TwnhsE","5","3",2005,"Hip","Ex","2","PConc","Ex","GLQ",1752,"Ex","Y","SBrkr",1752,"2","0",2,1,"Ex","Typ","AA",2,"Y","WD","Normal",319900,1,"0",278,"multiple","1"
"47","RL",12822,"IR1","Mitchel","1Fam","4","3",2003,"Gable","Gd","2","PConc","Ex","GLQ",1434,"Ex","Y","SBrkr",2149,"1","1",1,1,"Gd","Typ","AA",2,"Y","WD","Abnorml",239686,2,"0",409,"multiple","1"
"48","FV",11096,"Reg","Somerst","1Fam","4","3",2006,"Gable","Gd","2","PConc","Gd","GLQ",1656,"Ex","Y","SBrkr",1656,"2","0",3,1,"Gd","Typ","No",3,"Y","WD","Normal",249700,1,"0",146,"open_porch","1"
"49","RM",4456,"Reg","OldTown","2fmCon","2","3",1920,"Gable","TA","2","BrkTil","TA","Unf",736,"Gd","Y","SBrkr",1452,"2","0",2,3,"TA","Typ","No",0,"N or P","New","Partial",113000,2,"0",102,"enclosed_porch","0"
"50","RL",7742,"Reg","Sawyer","1Fam","3","4",1966,"Gable","TA","2","CBlock","TA","BLQ",955,"Ex","Y","SBrkr",955,"1","0",3,1,"TA","Typ","No",1,"Y","WD","Normal",127000,1,"0",0,"no","1"
"51","RL",13869,"IR2.5","Gilbert","1Fam","3","3",1997,"Gable","TA","2","PConc","Gd","GLQ",794,"Gd","Y","SBrkr",1470,"2","0",3,1,"TA","Typ","No",2,"Y","WD","Normal",177000,2,"0",75,"open_porch","1"
"52","RM",6240,"Reg","BrkSide","1Fam","3","3",1934,"Gable","TA","2","PConc","TA","Unf",816,"TA","Y","SBrkr",1176,"1","0",3,1,"TA","Typ","AA",2,"Y","WD","Normal",114500,1,"0",112,"wood_deck","0"
"53","RM",8472,"IR2.5","IDOTRR","Duplex","3","3",1963,"Gable","Fa","2","CBlock","Gd","LwQ",816,"TA","N","SBrkr",816,"1","0",2,1,"TA","Typ","No",2,"Y","WD","Normal",110000,1,"0",106,"wood_deck","1"
"54","RL",50271,"IR1","Veenker","1Fam","5","3",1981,"Gable","Gd","2","CBlock","Ex","GLQ",1842,"Gd","Y","SBrkr",1842,"0","1",0,1,"Gd","Typ","AA",3,"Y","WD","Normal",385000,1,"0",929,"multiple","0"
"55","RL",7134,"Reg","NAmes","1Fam","3","3",1955,"Gable","TA","2","CBlock","TA","ALQ",384,"TA","Y","SBrkr",1360,"1","0",3,1,"TA","Min","TA",2,"Y","WD","Normal",130000,1,"0",50,"open_porch","1"
"56","RL",10175,"IR1","NAmes","1Fam","3","3",1964,"Gable","TA","2","CBlock","TA","BLQ",1425,"Gd","Y","SBrkr",1425,"2","0",3,1,"TA","Typ","AA",2,"Y","WD","Normal",180500,1,"0",407,"three_s_porch","1"
"57","FV",2645,"Reg","Somerst","Twnhs","4","3",1999,"Gable","Gd","2","PConc","Gd","GLQ",970,"Ex","Y","SBrkr",1739,"2","1",3,1,"Gd","Typ","No",2,"Y","WD","Abnorml",172500,2,"0",115,"wood_deck","0"
"58","RL",11645,"IR1","CollgCr","1Fam","4","3",2004,"Gable","Gd","2","PConc","Gd","Unf",860,"Ex","Y","SBrkr",1720,"2","1",3,1,"Gd","Typ","No",2,"Y","WD","Normal",196500,2,"0",70,"open_porch","1"
"59","RL",13682,"IR2.5","StoneBr","1Fam","5","3",2006,"Hip","Ex","2","PConc","Ex","Unf",1410,"Ex","Y","SBrkr",2945,"3","1",3,1,"Gd","Typ","AA",3,"Y","New","Partial",438780,2,"0",229,"multiple","1"
"60","RL",7200,"Reg","CollgCr","1Fam","3","4",1972,"Gable","TA","2","CBlock","TA","ALQ",780,"Ex","Y","SBrkr",780,"1","0",2,1,"TA","Typ","No",1,"Y","WD","Normal",124900,1,"0",196,"wood_deck","1"
"61","RL",13072,"Reg","SawyerW","1Fam","3","3",2004,"Gable","TA","2","PConc","Gd","ALQ",1158,"Ex","Y","SBrkr",1158,"1","1",3,1,"Gd","Typ","No",2,"Y","New","Partial",158000,1,"0",50,"open_porch","1"
"62","RM",7200,"Reg","IDOTRR","1Fam","3","4",1920,"Gable","TA","2","BrkTil","TA","Unf",530,"TA","N","SBrkr",1111,"1","0",3,1,"Fa","Typ","No",1,"N or P","WD","Normal",101000,2,"0",144,"enclosed_porch","0"
"63","RL",6442,"IR1","NridgHt","TwnhsE","4","3",2006,"Gable","Gd","2","PConc","Gd","GLQ",1370,"Ex","Y","SBrkr",1370,"2","0",2,1,"Gd","Typ","AA",2,"Y","WD","Normal",202500,1,"0",169,"multiple","1"
"64","RM",10300,"IR1","OldTown","1Fam","4","3",1921,"Gable","TA","2","BrkTil","TA","Unf",576,"Gd","Y","SBrkr",1710,"2","0",3,1,"TA","Typ","No",2,"Y","WD","Normal",140000,2,"0",87,"multiple","0"
"65","RL",9375,"Reg","CollgCr","1Fam","4","3",1997,"Gable","TA","2","PConc","Gd","GLQ",1057,"Ex","Y","SBrkr",2034,"2","1",3,1,"Gd","Typ","No",2,"Y","WD","Normal",219500,2,"0",612,"multiple","0"
"66","RL",9591,"Reg","NridgHt","1Fam","4","3",2004,"Gable","Gd","2","PConc","Ex","Unf",1143,"Ex","Y","SBrkr",2473,"2","1",4,1,"Gd","Typ","AA",3,"Y","WD","Normal",317000,2,"0",343,"multiple","0"
"67","RL",19900,"Reg","NAmes","1Fam","4","3",1970,"Gable","TA","2","CBlock","Gd","GLQ",1947,"TA","Y","SBrkr",2207,"2","0",3,1,"TA","Min","AA",2,"Y","WD","Normal",180000,1,"0",301,"wood_deck","0"
"68","RL",10665,"IR1","CollgCr","1Fam","4","3",2003,"Gable","Gd","2","PConc","Gd","GLQ",1453,"Ex","Y","SBrkr",1479,"2","0",3,1,"Gd","Typ","No",2,"Y","WD","Normal",226000,1,"0",173,"multiple","1"
"69","RM",4608,"Reg","OldTown","1Fam","2","3",1945,"Gable","TA","3","CBlock","TA","Unf",747,"TA","Y","SBrkr",747,"1","0",2,1,"TA","Typ","No",1,"Y","WD","Normal",80000,1,"0",0,"no","0"
"70","RL",15593,"Reg","ClearCr","1Fam","4","2",1953,"Gable","Gd","2","CBlock","TA","BLQ",1304,"TA","Y","SBrkr",2287,"2","0",3,1,"TA","Typ","TA",2,"Y","WD","Normal",225000,2,"0",135,"multiple","1"
"71","RL",13651,"IR1","NAmes","1Fam","4","3",1973,"Gable","TA","3","CBlock","Gd","ALQ",2223,"Ex","Y","SBrkr",2223,"2","0",3,1,"TA","Typ","AA",2,"Y","WD","Normal",244000,1,"0",300,"wood_deck","1"
"72","RL",7599,"Reg","Mitchel","1Fam","2","3",1982,"Gable","TA","2","CBlock","TA","ALQ",845,"TA","Y","SBrkr",845,"1","0",2,1,"TA","Typ","No",2,"Y","WD","Normal",129500,1,"0",0,"no","0"
"73","RL",10141,"IR1","Gilbert","1Fam","4","3",1998,"Gable","TA","2","PConc","Gd","Unf",832,"Gd","Y","SBrkr",1718,"2","1",3,1,"TA","Typ","TA",2,"Y","WD","Normal",185000,2,"0",385,"multiple","1"
"74","RL",10200,"Reg","NAmes","1Fam","3","4",1954,"Gable","TA","2","CBlock","TA","ALQ",1086,"Gd","Y","SBrkr",1086,"1","0",3,1,"TA","Typ","No",2,"Y","WD","Normal",144900,1,"0",0,"no","0"
"75","RM",5790,"Reg","OldTown","1Fam","2","3",1915,"Other","Gd","3","CBlock","Fa","Unf",840,"Gd","N","SBrkr",1605,"2","0",3,2,"TA","Typ","No",1,"Y","WD","Normal",107400,2,"0",202,"enclosed_porch","0"
"76","RM",1596,"Reg","MeadowV","Twnhs","2","3",1973,"Gable","TA","2","CBlock","Gd","GLQ",462,"TA","Y","SBrkr",988,"1","0",2,1,"TA","Typ","No",1,"Y","WD","Normal",91000,2,"0",221,"multiple","1"
"77","RL",8475,"IR1","NAmes","1Fam","2","4",1956,"Gable","TA","2","CBlock","TA","ALQ",952,"Ex","Y","Fuse or Mix",952,"1","0",2,1,"TA","Typ","No",1,"Y","WD","Normal",135750,1,"0",0,"no","1"
"78","RM",8635,"Reg","BrkSide","1Fam","3","3",1948,"Gable","TA","2","CBlock","TA","BLQ",672,"TA","Y","SBrkr",1285,"1","0",2,1,"TA","Min","No",1,"Y","WD","Normal",127000,2,"0",0,"no","0"
"79","RL",10778,"Reg","Sawyer","Duplex","2","3",1968,"Hip","TA","2","CBlock","TA","Unf",1768,"TA","N","SBrkr",1768,"2","0",4,2,"TA","Typ","No",0,"Y","WD","Normal",136500,1,"0",0,"no","1"
"80","RM",10440,"Reg","OldTown","1Fam","3","3",1910,"Gable","TA","2","PConc","TA","Unf",440,"Gd","Y","SBrkr",1230,"1","1",2,1,"TA","Typ","No",2,"Y","WD","Normal",110000,2,"0",202,"multiple","0"
"81","RL",13000,"Reg","NAmes","1Fam","3","3",1968,"Gable","TA","3","CBlock","Gd","Rec",896,"TA","Y","SBrkr",2142,"2","1",4,1,"Gd","Typ","AA",1,"Y","WD","Normal",193500,2,"0",324,"multiple","1"
"82","RM",4500,"Reg","Mitchel","TwnhsE","3","3",1998,"Hip","TA","3","PConc","Ex","GLQ",1237,"Ex","Y","SBrkr",1337,"2","0",2,1,"TA","Typ","No",2,"Y","WD","Normal",153500,1,"0",199,"open_porch","1"
"83","RL",10206,"Reg","Somerst","1Fam","4","3",2007,"Gable","TA","2","PConc","Gd","GLQ",1563,"Ex","Y","SBrkr",1563,"2","0",3,1,"Gd","Typ","AA",3,"Y","WD","Normal",245000,1,"0",243,"multiple","1"
"84","RL",8892,"IR1","NAmes","1Fam","3","3",1960,"Gable","TA","2","CBlock","TA","Unf",1065,"Gd","Y","SBrkr",1065,"1","1",3,1,"TA","Typ","No",2,"Y","COD","Normal",126500,1,"0",74,"wood_deck","1"
"85","RL",8530,"IR1","Gilbert","1Fam","4","3",1995,"Gable","TA","2","PConc","Gd","Unf",384,"Gd","Y","SBrkr",1474,"2","1",3,1,"TA","Typ","TA",2,"Y","WD","Normal",168500,2,"0",192,"multiple","0"
"86","RL",16059,"Reg","NoRidge","1Fam","4","3",1991,"Hip","Gd","2","CBlock","Gd","Unf",1288,"Ex","Y","SBrkr",2417,"2","1",4,1,"Gd","Typ","TA",2,"Y","WD","Normal",260000,2,"0",209,"multiple","0"
"87","RL",11911,"IR2.5","Gilbert","1Fam","3","3",2005,"Gable","Gd","2","PConc","Gd","Unf",684,"Ex","Y","SBrkr",1560,"2","1",3,1,"Gd","Typ","AA",2,"Y","WD","Normal",174000,2,"0",138,"multiple","1"
"88","FV",3951,"Reg","Somerst","TwnhsE","3","3",2009,"Gable","Gd","2","PConc","Gd","Unf",612,"Ex","Y","SBrkr",1224,"2","1",2,1,"Gd","Typ","No",2,"Y","New","Partial",164500,2,"0",234,"open_porch","1"
"89","C (all)",8470,"IR1","IDOTRR","1Fam","2","1",1915,"Hip","Fa","1","CBlock","TA","Unf",1013,"TA","N","SBrkr",1526,"1","0",2,1,"Fa","Typ","No",0,"N or P","Other","Abnorml",85000,1,"0",156,"enclosed_porch","0"
"90","RL",8070,"Reg","CollgCr","1Fam","2","3",1994,"Gable","TA","2","PConc","Gd","GLQ",990,"Ex","Y","SBrkr",990,"1","0",3,1,"TA","Typ","No",0,"Y","WD","Normal",123600,1,"0",0,"no","0"
"91","RL",7200,"Reg","NAmes","1Fam","2","3",1950,"Gable","TA","2","Other","No","No",0,"TA","Y","Fuse or Mix",1040,"1","0",2,1,"TA","Typ","No",2,"Y","WD","Normal",109900,1,"0",29,"open_porch","1"
"92","RL",8500,"Reg","NAmes","1Fam","3","2",1961,"Hip","TA","2","CBlock","TA","Rec",1235,"TA","Y","SBrkr",1235,"1","0",2,1,"TA","Typ","No",2,"Y","WD","Abnorml",98600,1,"0",0,"no","1"
"93","RL",13360,"IR1","Crawfor","1Fam","3","4",1921,"Gable","TA","3","BrkTil","Gd","ALQ",876,"Ex","Y","SBrkr",964,"1","0",2,1,"TA","Typ","No",2,"Y","WD","Normal",163500,1,"0",44,"enclosed_porch","0"
"94","C (all)",7200,"Reg","OldTown","2fmCon","3","3",1910,"Hip","TA","2","BrkTil","TA","Rec",1214,"Ex","N","SBrkr",2291,"2","0",4,2,"TA","Typ","AA",2,"Y","WD","Normal",133900,2,"0",99,"screen_porch","0"
"95","RL",9337,"IR1","CollgCr","1Fam","3","3",1997,"Gable","TA","3","PConc","Gd","GLQ",824,"Ex","Y","SBrkr",1786,"2","1",3,1,"Gd","Typ","No",2,"Y","WD","Normal",204750,2,"0",162,"open_porch","1"
"96","RL",9765,"IR2.5","Gilbert","1Fam","3","4",1993,"Gable","Ex","3","PConc","Gd","ALQ",680,"Gd","Y","SBrkr",1470,"2","1",3,1,"TA","Typ","TA",2,"Y","WD","Normal",185000,2,"0",295,"multiple","1"
"97","RL",10264,"IR1","CollgCr","1Fam","4","3",1999,"Gable","Gd","2","PConc","Gd","ALQ",1588,"Ex","Y","SBrkr",1588,"2","0",3,1,"Gd","Typ","No",2,"Y","WD","Normal",214000,1,"0",187,"multiple","1"
"98","RL",10921,"Reg","Edwards","1Fam","2","3",1965,"Hip","TA","2","CBlock","TA","Rec",960,"TA","Y","Fuse or Mix",960,"1","0",3,1,"TA","Typ","No",1,"N or P","WD","Normal",94750,1,"0",120,"wood_deck","1"
"99","RL",10625,"Reg","Edwards","1Fam","3","3",1920,"Gable","TA","2","BrkTil","TA","ALQ",458,"Fa","N","SBrkr",835,"1","0",2,1,"TA","Typ","No",1,"Y","COD","Abnorml",83000,1,"0",77,"enclosed_porch","0"
"100","RL",9320,"IR1","NAmes","1Fam","2","3",1959,"Gable","TA","2","CBlock","TA","ALQ",950,"Fa","Y","SBrkr",1225,"1","1",3,1,"TA","Typ","No",0,"Y","WD","Normal",128950,1,"0",352,"wood_deck","1"
"101","RL",10603,"IR1","NWAmes","1Fam","3","4",1977,"Gable","TA","2","PConc","TA","ALQ",1610,"Gd","Y","SBrkr",1610,"2","0",3,1,"Gd","Typ","TA",2,"Y","WD","Normal",205000,1,"0",236,"multiple","0"
"102","RL",9206,"Reg","SawyerW","1Fam","3","3",1985,"Gable","Gd","2","CBlock","Gd","Unf",741,"TA","Y","SBrkr",1732,"2","1",3,1,"Gd","Typ","TA",2,"Y","WD","Normal",178000,2,"0",238,"multiple","1"
"103","RL",7018,"Reg","SawyerW","Duplex","3","3",1979,"Gable","TA","1","Other","No","No",0,"TA","Y","SBrkr",1535,"2","0",4,2,"TA","Typ","No",2,"Y","WD","Other",118964,1,"0",0,"no","1"
"104","RL",10402,"IR1","CollgCr","1Fam","4","3",2009,"Gable","TA","2","PConc","Gd","Unf",1226,"Ex","Y","SBrkr",1226,"2","0",3,1,"Gd","Typ","No",3,"Y","WD","Normal",198900,1,"0",36,"open_porch","1"
"105","RM",7758,"Reg","IDOTRR","1Fam","4","2",1931,"Gable","TA","1","PConc","TA","LwQ",1040,"Ex","Y","Fuse or Mix",1818,"1","1",4,1,"TA","Typ","TA",1,"Y","WD","Normal",169500,2,"0",184,"screen_porch","0"
"106","FV",9375,"Reg","Somerst","1Fam","4","3",2003,"Hip","Gd","2","PConc","Ex","Unf",1053,"Ex","Y","SBrkr",1992,"2","1",3,1,"Gd","Typ","AA",2,"Y","WD","Normal",250000,2,"0",185,"multiple","0"
"107","RM",10800,"Reg","OldTown","1Fam","2","4",1885,"Other","TA","2","BrkTil","Fa","Unf",641,"Gd","Y","SBrkr",1047,"1","0",2,1,"TA","Typ","No",1,"N or P","WD","Normal",1e+05,1,"0",0,"no","0"
